LOAN_DATE,LOAN_TYPE,CAR_YEAR,CAR_MAKE,CAR_MODEL,days in inv,PRICE,AMT FIN,DOWN PMT,PMT,ACV,TOT RECON,GROSS
 2/28/21,SL,2011,TOYOTA,HIGHLANDER BASE,150,"14,995.00","14,254.75","2,000.00",125.00,"9,200.00",804.72,"4,990.28"
 1/9/21,SL,2016,TOYOTA,COROLLA  LE,253,"14,495.00","14,772.60","1,000.00",115.00,"8,500.00",507.90,"5,487.10"
 3/5/21,SL,2007,TOYOTA,TUNDRA SR5,165,"16,495.00","15,715.00","2,000.00",220.00,"8,200.00","1,415.74","6,879.26"
 1/15/21,SL,2013,HYUNDAI,ELANTRA GLS; LIMITED,247,"12,995.00","13,777.00","1,000.00",200.00,"7,040.00",947.92,"5,007.08"
 1/9/21,SL,2015,KIA,FORTE EX; LX,247,"11,995.00","13,215.25",500.00,215.00,"6,740.00",120.00,"5,135.00"
 2/9/21,CD,2006,CHEVROLET,COLORADO,201,"3,901.87","4,300.00",0.00,"4,300.00","4,000.00",129.05,-227.18
 3/6/21,SL,2012,HONDA,CR-V EX-L,146,"14,995.00","15,403.95","1,000.00",130.00,"7,840.00",768.50,"6,386.50"
 3/13/21,SL,2012,HONDA,PILOT EX,139,"12,995.00","13,276.25","1,000.00",125.00,"6,210.00",892.74,"5,892.26"
 6/2/21,CD,2016,RAM,PROMASTER 1500 LOW R,113,"8,352.00","9,308.12",0.00,"9,308.12","8,352.00",0.00,0.00
 3/2/21,SL,2012,TOYOTA,CAMRY SE; LE; XLE,160,"13,495.00","12,242.75","1,500.00",200.00,"6,842.00",660.99,"5,992.01"
 4/6/21,SL,2010,TOYOTA,RAV4 SPORT,140,"14,495.00","14,851.85",800.00,215.00,"7,040.00","1,655.81","5,799.19"
 4/14/21,SL,2014,HYUNDAI,ACCENT GLS,116,"12,495.00","14,894.42",200.00,210.00,"5,620.00",967.51,"5,907.49"
 4/2/21,SL,2019,TOYOTA,COROLLA CE; S; LE,323,"17,995.00","17,089.55","2,500.00",210.00,"13,510.00",807.99,"3,677.01"
 1/12/21,SL,2014,CHEVROLET,SUBURBAN LT,258,"20,995.00","19,466.95","2,000.00",520.00,"13,400.00",0.00,"7,595.00"
 3/9/21,WH,2013,FORD,EDGE,146,"3,120.00","3,120.00",0.00,"3,120.00","2,825.00",0.00,295.00
 3/6/21,SL,2014,KIA,SEDONA EX; LX,258,"13,495.00","13,848.65",100.00,200.00,"4,700.00","2,322.53","6,472.47"
 1/2/21,SL,2008,LEXUS,RX 350 BASE,258,"11,995.00","12,292.45","1,000.00",125.00,"7,400.00",0.00,"4,595.00"
 1/15/21,SL,2017,NISSAN,ARMADA SL; PLATINUM;,202,"29,995.00","31,078.90","1,000.00",300.00,"19,800.00",641.53,"9,553.47"
 3/2/21,SL,2014,HYUNDAI,ELANTRA GLS; LIMITED,189,"14,995.00","15,403.95","1,000.00",140.00,"8,590.00","1,177.55","5,227.45"
 3/19/21,SL,2014,HONDA,CR-V EX-L,132,"17,995.00","18,093.05","1,500.00",130.00,"9,730.00","2,312.00","5,953.00"
 2/5/21,SL,2016,HONDA,CIVIC LX,258,"16,500.00","16,783.80","1,000.00",270.00,"8,990.00",894.51,"6,615.49"
 1/14/21,SL,2016,MAZDA,MAZDA6 SPORT,212,"16,995.00","17,309.60","1,500.00",275.00,"9,190.00","1,219.00","6,586.00"
 4/22/21,SL,2013,HYUNDAI,ACCENT GLS,97,"9,495.00","10,055.05",500.00,190.00,"3,375.00",579.20,"5,540.80"
 1/27/21,WH,2010,HONDA,ODYSSEY,653,1.00,1.00,0.00,1.00,"3,175.00",0.00,"-3,174.00"
 3/16/21,SL,2013,HONDA,ACCORD SPORT,246,"15,495.00","15,152.90","1,500.00",225.00,"8,590.00","1,096.63","5,808.37"
 1/25/21,SL,2013,HYUNDAI,VELOSTER BASE,246,"10,495.00","10,837.55",750.00,115.00,"3,710.00","1,569.04","5,215.96"
 2/19/21,SL,2013,HONDA,CIVIC LX,246,"13,995.00","14,641.15",700.00,125.00,"5,960.00","1,503.34","6,531.66"
 4/3/21,SL,2014,HONDA,CIVIC LX,184,"13,995.00","15,998.75","1,200.00",250.00,"7,390.00",958.91,"5,646.09"
 1/14/21,SL,2013,HONDA,ACCORD LX,246,"15,995.00","16,747.50","1,000.00",225.00,"7,110.00","2,243.58","6,641.42"
 2/20/21,SL,2018,KIA,FORTE LX; S,246,"13,995.00","14,841.85",500.00,110.00,"8,040.00",681.95,"5,273.05"
 3/15/21,SL,2008,HONDA,ELEMENT EX,155,"8,995.00","8,298.75","1,500.00",300.00,"4,510.00",663.60,"3,821.40"
 1/2/21,SL,2015,NISSAN,ALTIMA 2.5; 2.5 S; 2,240,"11,995.00","12,232.45","1,000.00",200.00,"6,500.00",830.94,"4,664.06"
 5/4/21,SL,2006,TOYOTA,RAV4 BASE,179,"12,495.00","12,764.50",700.00,110.00,"5,230.00","1,622.80","5,642.20"
 5/19/21,SL,2017,HYUNDAI,ELANTRA,116,"15,495.00","14,430.45","2,500.00",200.00,"6,450.00","3,526.89","5,518.11"
 6/16/21,SL,2007,TOYOTA,4RUNNER LIMITED,63,"11,995.00","11,329.60","1,600.00",350.00,"5,800.00",984.22,"5,210.78"
 5/3/21,SL,2006,TOYOTA,TUNDRA SR5,109,"15,995.00","15,182.90","2,000.00",260.00,"7,000.00","1,758.48","7,236.52"
 4/15/21,SL,2007,HONDA,CIVIC LX,105,"9,995.00","10,215.75",650.00,100.00,"2,000.00","1,504.14","6,490.86"
 7/3/21,SL,2012,MAZDA,MAZDA3 I TOURING W/S,33,"12,995.00","12,272.75","2,000.00",90.00,"5,160.00","1,004.77","6,830.23"
 3/20/21,SL,2012,HONDA,CIVIC LX,132,"11,995.00","11,711.00","1,500.00",200.00,"5,160.00",714.87,"6,120.13"
 4/7/21,SL,2011,HONDA,CR-V LX,120,"11,495.00","11,680.65","1,000.00",200.00,"4,360.00","1,430.88","5,704.12"
 4/7/21,SL,2014,MAZDA,MAZDA6 GRAND TOURING,112,"13,995.00","13,918.70","1,200.00",225.00,"7,640.00",510.17,"5,844.83"
 4/2/21,SL,2016,HYUNDAI,ELANTRA LIMITED; SE;,167,"14,995.00","15,323.60",800.00,460.00,"8,345.00",850.74,"5,799.26"
 3/26/21,SL,2012,MAZDA,MAZDA3 I TOURING W/S,268,"11,995.00","12,192.40",800.00,200.00,"4,900.00","1,322.92","5,772.08"
 4/30/21,SL,2013,ACURA,RDX BASE; BASE W/ACU,110,"18,495.00","18,123.40","2,000.00",200.00,"10,810.00",882.35,"6,802.65"
 5/7/21,SL,2015,HYUNDAI,ACCENT GS; SE,83,"11,995.00","12,714.50",500.00,100.00,"3,860.00","1,594.91","6,540.09"
 5/5/21,SL,2011,NISSAN,PATHFINDER S; LE; SV,89,"14,995.00","15,885.35",300.00,280.00,"6,310.00","1,572.57","7,112.43"
 6/15/21,SL,2014,TOYOTA,CAMRY SE; LE; XLE; L,110,"15,995.00","16,467.45","1,000.00",550.00,"9,680.00",642.28,"5,672.72"
 5/4/21,SL,2007,LINCOLN,MKX,99,"10,995.00","10,948.20","1,200.00",200.00,"3,650.00",979.57,"6,365.43"
 5/13/21,SL,2013,NISSAN,ALTIMA,86,"12,995.00","12,553.80","1,500.00",400.00,"3,500.00","1,143.22","8,351.78"
 7/2/21,SL,2018,TOYOTA,COROLLA CE; S; LE,47,"16,995.00","19,622.91",300.00,250.00,"8,000.00","1,178.53","7,816.47"
 4/19/21,SL,2013,HYUNDAI,ELANTRA GLS; LIMITED,102,"13,995.00","14,119.40","1,000.00",200.00,"8,200.00",905.57,"4,889.43"
 5/11/21,OF,2016,HYUNDAI,TUCSON LIMITED; SPOR,79,"18,995.00","22,514.80",0.00,"22,514.80","14,100.00",568.25,"4,326.75"
 3/6/21,SL,2016,HONDA,CR-V TOURING,236,"20,995.00","23,812.28",0.00,290.00,"15,710.00",623.43,"4,661.57"
 1/29/21,CD,2009,HYUNDAI,SONATA,235,500.00,640.00,0.00,640.00,300.00,0.00,200.00
 3/31/21,SL,2014,HONDA,CR-V LX,211,"14,495.00","13,366.60","2,500.00",400.00,"7,645.00","1,009.09","5,840.91"
 4/5/21,SL,2015,KIA,SOUL BASE,126,"13,995.00","13,838.35","1,500.00",200.00,"6,840.00","1,294.29","5,860.71"
 2/4/21,CD,2012,KIA,SORENTO,232,500.00,500.00,0.00,500.00,"3,225.00",0.00,"-2,725.00"
 1/29/21,SL,2015,HYUNDAI,SONATA SE,184,"11,995.00","11,796.00","1,000.00",200.00,"4,850.00","1,302.05","5,842.95"
 1/30/21,SL,2014,NISSAN,ALTIMA,181,"10,995.00","10,851.35",300.00,210.00,"4,775.00","1,181.35","5,038.65"
 1/27/21,WH,2006,CHEVROLET,SILVERADO,674,"3,750.00","3,750.00",0.00,"3,750.00","2,350.00",0.00,"1,400.00"
 3/4/21,SL,2017,HONDA,ACCORD LX,182,"16,995.00","15,805.35","2,500.00",225.00,"8,960.00","1,693.78","6,341.22"
 2/15/21,SL,2009,HONDA,ACCORD LX,177,"10,495.00","10,336.10","1,000.00",100.00,"5,465.00",702.47,"4,327.53"
 1/15/21,SL,2013,HONDA,PILOT EXL,253,"17,995.00","17,371.35","2,000.00",120.00,"11,475.00",765.02,"5,754.98"
 1/16/21,SL,2014,MAZDA,MAZDA3 I SPORT W/SKY,216,"12,995.00","13,557.35",700.00,115.00,"6,340.00",926.93,"5,728.07"
 1/27/21,SL,2011,TOYOTA,TACOMA PRERUNNER,253,"19,995.00","20,500.80","1,500.00",600.00,"15,825.00","1,348.40","2,821.60"
 2/9/21,SL,2013,HONDA,CR-V EX,209,"14,495.00","14,530.80",0.00,120.00,"7,680.00",948.88,"5,866.12"
 3/13/21,SL,2015,HONDA,ACCORD EX,139,"14,995.00","14,681.15","1,500.00",225.00,"7,540.00","1,550.87","5,904.13"
 4/27/21,SL,2013,TOYOTA,TUNDRA SR; SR5,112,"23,995.00","21,966.70","4,000.00",150.00,"15,595.00","2,075.97","6,324.03"
 3/27/21,SL,2012,TOYOTA,CAMRY SE; LE; XLE,156,"13,995.00","14,621.15",500.00,200.00,"6,410.00","1,758.34","5,826.66"
 5/10/21,SL,2014,MAZDA,MAZDA6 TOURING,79,"15,495.00","16,551.08",0.00,225.00,"7,740.00","1,791.54","5,963.46"
 3/27/21,SL,2011,TOYOTA,SIENNA BASE; LIMITED,134,"14,995.00","19,494.61","2,000.00",125.00,"7,840.00","1,402.45","5,752.55"
 4/9/21,SL,2010,TOYOTA,YARIS BASE,140,"11,495.00","11,459.95","1,000.00",190.00,"4,160.00","1,059.54","6,275.46"
 3/17/21,SL,2005,TOYOTA,SEQUOIA LIMITED,155,"11,995.00","11,429.95","1,500.00",200.00,"4,400.00",0.00,"7,595.00"
 4/20/21,WH,2009,CHEVROLET,AVEO,111,"3,020.00","3,020.00",0.00,"3,020.00",500.00,0.00,"2,520.00"
 4/2/21,SL,2013,HYUNDAI,ACCENT GLS,125,"11,495.00","11,399.60","1,000.00",400.00,"4,495.00",878.49,"6,121.51"
 3/25/21,SL,2010,HONDA,CR-V EX-L,132,"12,995.00","13,276.25","1,000.00",120.00,"5,830.00","1,076.01","6,088.99"
 4/6/21,SL,2012,HYUNDAI,ELANTRA GLS; LIMITED,114,"10,995.00","10,426.45","1,500.00",375.00,"4,010.00",869.92,"6,115.08"
 6/12/21,SL,2012,HONDA,CR-V EX,53,"13,495.00","13,808.35","1,000.00",220.00,"7,840.00","1,425.24","4,229.76"
 4/17/21,SL,2012,HONDA,CIVIC EX-L,102,"12,995.00","12,995.20",0.00,175.00,"5,410.00","1,273.40","6,311.60"
 4/23/21,SL,2016,NISSAN,ALTIMA 2.5; 2.5 S; 2,121,"15,995.00","15,965.70","1,500.00",130.00,"8,840.00","1,183.39","5,971.61"
 4/26/21,SL,2015,MAZDA,MAZDA3 I TOURING W/S,109,"13,995.00","13,115.90","2,000.00",210.00,"7,790.00",919.73,"5,285.27"
 4/15/21,SL,2013,HYUNDAI,ELANTRA GLS; LIMITED,106,"12,995.00","13,778.00",500.00,200.00,"5,810.00",882.48,"6,302.52"
 4/30/21,SL,2013,MAZDA,CX-5 TOURING,105,"15,995.00","16,246.75","1,000.00",100.00,"8,490.00",975.84,"6,529.16"
 4/24/21,SL,2012,HONDA,PILOT EXL,97,"15,995.00","18,678.94",500.00,280.00,"8,340.00","2,682.21","4,972.79"
 4/15/21,SL,2016,NISSAN,ALTIMA 2.5; 2.5 S; 2,110,"14,995.00","15,182.90","1,000.00",210.00,"8,040.00",878.07,"6,076.93"
 4/30/21,SL,2015,HONDA,ACCORD SPORT,89,"15,995.00","16,467.45","1,000.00",120.00,"8,790.00","1,353.63","5,851.37"
 5/8/21,SL,2012,HONDA,ACCORD SE,97,"13,995.00","14,340.10","1,000.00",225.00,"7,440.00",751.69,"5,803.31"
 6/25/21,SL,2012,HONDA,CR-V EX-L,37,"16,495.00","16,999.20","1,000.00",125.00,"10,062.00","1,157.94","5,275.06"
 5/27/21,SL,2005,ACURA,TL 3.2TL,76,"12,495.00","13,125.90",400.00,125.00,"5,122.00","2,074.25","5,298.75"
 6/10/21,SL,2016,TOYOTA,COROLLA,52,"13,995.00","14,741.50",600.00,225.00,"5,456.90","1,511.00","7,027.10"
 4/22/21,SL,2017,HYUNDAI,ACCENT,103,"10,995.00","11,148.90","1,000.00",200.00,"3,850.00","1,008.01","6,136.99"
 4/8/21,SL,2014,MAZDA,CX-5 TOURING,117,"16,995.00","15,524.30","3,000.00",100.00,"9,050.00",0.00,"7,945.00"
 4/19/21,SL,2008,HONDA,ACCORD,181,"7,495.00","7,707.00",500.00,200.00,"3,775.00","1,064.20","2,655.80"
 3/15/21,SL,2016,TOYOTA,RAV4 XLE,330,"18,995.00","18,554.80","2,100.00",250.00,"12,500.00","1,612.75","4,882.25"
 3/27/21,SL,2019,TOYOTA,COROLLA CE; S; LE,314,"19,995.00","19,999.70","1,500.00",130.00,"13,620.00",565.00,"5,810.00"
 3/9/21,SL,2018,KIA,SOUL +  (PLUS),216,"18,995.00","19,440.75",200.00,145.00,"12,045.00",973.95,"5,976.05"
 1/9/21,SL,2014,HONDA,ACCORD SPORT,204,"15,995.00","15,744.00","2,000.00",250.00,"8,660.00",945.81,"6,389.19"
 2/11/21,SL,2009,HONDA,CIVIC EX,204,"9,995.00","10,366.10",500.00,200.00,"3,510.00","1,884.74","4,600.26"
 2/5/21,SL,2011,HONDA,CIVIC EX,184,"9,995.00","9,081.55","2,000.00",175.00,"3,810.00","2,361.39","3,823.61"
 2/18/21,SL,2017,TOYOTA,CAMRY SE; LE; XLE; X,184,"15,995.00","16,848.85",400.00,250.00,"7,840.00",966.45,"7,188.55"
 2/18/21,SL,2015,HONDA,CIVIC SE,223,"13,995.00","14,119.40","1,000.00",225.00,"6,610.00",678.98,"6,706.02"
 2/27/21,SL,2011,FORD,EXPLORER,153,"14,495.00","14,370.10","1,500.00",135.00,"5,350.00","2,227.12","6,917.88"
 1/6/21,SL,2016,TOYOTA,COROLLA CE; S; LE,217,"11,995.00","12,994.20",500.00,100.00,"6,010.00",665.08,"5,319.92"
 3/18/21,SL,2019,TOYOTA,COROLLA CE; S; LE,167,"15,495.00","16,438.50",200.00,250.00,"9,040.00","1,395.96","5,059.04"
 3/3/21,SL,2010,HONDA,CR-V,182,"11,995.00","12,714.50",500.00,200.00,"5,725.00",947.71,"5,322.29"
 2/19/21,SL,2013,TOYOTA,COROLLA,170,"9,995.00","11,791.79",300.00,190.00,"3,875.00","2,870.71","3,249.29"
 5/8/21,SL,2019,MITSUBISHI,MIRAGE GT,282,"14,995.00","15,403.95","1,000.00",200.00,"7,240.00",899.49,"6,855.51"
 2/6/21,SL,2013,HYUNDAI,ACCENT GS; SE,204,"9,495.00","9,834.35",500.00,200.00,"3,910.00",758.87,"4,826.13"
 1/9/21,SL,2009,TOYOTA,RAV4 BASE,204,"13,995.00","14,841.55",800.00,550.00,"6,660.00",671.57,"6,663.43"
 1/7/21,OH,2016,KIA,SOUL BASE,202,"10,995.00","11,770.00",600.00,100.00,"3,555.00","1,330.23","6,109.77"
 5/6/21,SL,2018,TOYOTA,YARIS IA SE; LE; L,85,"14,995.00","13,396.60","3,000.00",100.00,"8,090.00",996.39,"5,908.61"
 2/18/21,SL,2006,TOYOTA,TACOMA,167,"11,995.00","10,928.20","2,000.00",250.00,"4,000.00","2,029.02","5,965.98"
 6/7/21,SL,2018,NISSAN,ALTIMA 2.5; 2.5 S; 2,55,"15,995.00","15,887.10",800.00,220.00,"8,240.00",0.00,"7,755.00"
 6/4/21,SL,2003,TOYOTA,CAMRY SE; LE; XLE,54,"10,495.00","10,998.20",400.00,385.00,"4,400.00","1,281.66","4,813.34"
 4/28/21,SL,2012,HONDA,CIVIC EX,93,"11,495.00","11,961.70",500.00,200.00,"3,890.00","2,239.56","5,365.44"
 4/30/21,SL,2014,HONDA,CIVIC EX,91,"13,995.00","14,560.80",500.00,125.00,"7,040.00","1,104.49","5,850.51"
 3/11/21,WH,2006,NISSAN,ALTIMA,146,540.00,540.00,0.00,540.00,500.00,0.00,40.00
 4/16/21,SL,2012,HYUNDAI,VELOSTER BASE,110,"11,995.00","15,856.92",100.00,130.00,"4,360.00","1,271.51","6,363.49"
 5/25/21,SL,2012,HONDA,CR-V EX,109,"13,995.00","14,621.15",500.00,215.00,"8,040.00","1,045.10","4,909.90"
 3/18/21,SL,2017,NISSAN,ALTIMA 2.5; 2.5 S; 2,132,"17,995.00","17,872.35","1,500.00",250.00,"9,680.00",959.97,"7,355.03"
 3/18/21,SL,2012,TOYOTA,VENZA BASE,132,"15,995.00","15,745.00","1,500.00",120.00,"8,640.00","1,110.09","6,244.91"
 7/5/21,SL,2018,HYUNDAI,ELANTRA,29,"15,495.00","15,915.70",800.00,130.00,"8,000.00",0.00,"7,495.00"
 2/23/21,SL,2010,HONDA,ACCORD,184,"10,495.00","10,416.45","1,200.00",200.00,"3,000.00","2,963.08","4,531.92"
 3/9/21,SL,2012,HYUNDAI,ELANTRA GLS; LIMITED,189,"14,495.00","14,891.85",700.00,230.00,"7,490.00","1,165.68","5,839.32"
 4/17/21,SL,2013,HONDA,CR-V EX-L,198,"16,995.00","17,250.25","1,000.00",250.00,"8,190.00",929.00,"7,876.00"
 2/18/21,SL,2014,TOYOTA,VENZA BASE,177,"15,495.00","15,213.25","1,500.00",125.00,"9,190.00",120.00,"6,185.00"
 4/24/21,SL,2007,JEEP,WRANGLER,109,"10,995.00","9,924.70","2,000.00",100.00,"5,000.00","1,288.22","4,706.78"
 1/16/21,SL,2004,TOYOTA,TACOMA,193,"8,995.00","8,304.75",100.00,350.00,"3,500.00",734.14,"4,760.86"
 2/26/21,SL,2012,MAZDA,MAZDA3 TOURING,193,"11,995.00","12,212.75","1,000.00",100.00,"6,540.00","1,624.10","3,830.90"
 5/29/21,SL,2012,HONDA,CR-V EX-L,83,"14,995.00","15,684.65",500.00,130.00,"7,440.00","2,240.19","5,314.81"
 3/19/21,SL,2012,HONDA,PILOT EX-L RES,145,"15,495.00","15,152.90","1,500.00",225.00,"8,240.00","1,261.11","5,993.89"
 4/8/21,SL,2012,HONDA,CR-V EX-L,119,"14,495.00","14,874.65",200.00,130.00,"8,440.00","1,583.51","4,471.49"
 1/14/21,WH,2006,KIA,SORENTO,480,"2,050.00","2,050.00",0.00,"2,050.00","1,000.00","2,429.97","-1,379.97"
 1/7/21,SL,2013,NISSAN,ALTIMA,217,"9,995.00","10,606.15",700.00,100.00,"2,200.00","1,835.26","5,959.74"
 2/13/21,SL,2013,TOYOTA,TUNDRA SR; SR5,165,"22,995.00","22,692.65","1,000.00",160.00,"15,495.00","1,224.13","6,275.87"
 1/14/21,WH,2014,NISSAN,SENTRA,278,"3,050.00","3,050.00",0.00,"3,050.00","2,350.00",109.87,590.13
 1/15/21,WH,2003,MAZDA,TRIBUTE,270,300.00,300.00,0.00,300.00,250.00,0.00,50.00
 1/27/21,WH,2011,HONDA,PILOT,216,300.00,300.00,0.00,300.00,"3,925.00",0.00,"-3,625.00"
 2/13/21,SL,2006,FORD,MUSTANG BASE,167,"7,995.00","8,359.10",600.00,125.00,1.00,"1,174.66","6,819.34"
 2/10/21,SL,2012,HONDA,CR-V EX,190,"11,995.00","13,255.76",100.00,200.00,"5,420.00",822.55,"5,752.45"
 1/30/21,SL,2014,HONDA,CIVIC EX,189,"14,295.00","14,940.20",500.00,100.00,"6,640.00","1,066.14","6,588.86"
 1/18/21,SL,2013,FORD,ESCAPE,202,"11,995.00","13,466.25",200.00,110.00,"5,075.00","1,625.39","5,294.61"
 2/3/21,SL,2017,HYUNDAI,ACCENT SE,366,"11,495.00","14,312.49","1,000.00",115.00,"5,850.00",562.92,"5,082.08"
 1/8/21,OH,2012,GMC,SIERRA,201,"17,995.00","18,593.80","1,500.00",140.00,"8,500.00",657.92,"8,837.08"
 3/17/21,SL,2018,CHEVROLET,MALIBU LT (2FL),153,"18,995.00","21,943.14","1,500.00",275.00,"10,450.00",556.20,"7,988.80"
 2/1/21,WH,2008,FORD,ESCAPE,813,"3,800.00","3,800.00",0.00,"3,800.00","2,800.00",235.00,765.00
 4/23/21,SL,2013,SCION,XD BASE,109,"12,995.00","13,276.25","1,000.00",200.00,"6,210.00","1,208.97","5,576.03"
 3/27/21,SL,2007,TOYOTA,4RUNNER SR5,126,"15,495.00","13,928.70","3,000.00",125.00,"8,690.00","1,059.97","5,745.03"
 6/2/21,OH,2011,HYUNDAI,ELANTRA GLS; LIMITED,91,"11,995.00","12,714.50",500.00,215.00,"4,360.00",904.14,"6,730.86"
 3/31/21,SL,2017,NISSAN,ALTIMA 2.5; 2.5 S; 2,139,"15,495.00","15,935.70","1,000.00",120.00,"7,740.00","1,074.96","6,680.04"
 3/25/21,SL,2016,NISSAN,ROGUE S; SL; SV,127,"15,995.00","15,243.25","2,000.00",200.00,"6,710.00","1,469.93","7,815.07"
 5/21/21,SL,2002,TOYOTA,CAMRY SE; LE; XLE,69,"9,495.00","9,834.35",500.00,200.00,"3,000.00","1,353.33","5,141.67"
 6/11/21,WH,2014,HYUNDAI,ELANTRA GLS; LIMITED,75,"5,680.00","5,680.00",0.00,"5,680.00","6,120.00",0.00,-440.00
 2/19/21,SL,2014,TOYOTA,RAV4 LE,391,"19,995.00","21,224.25",500.00,150.00,"10,630.00","2,656.79","6,708.21"
 1/29/21,SL,2013,HONDA,PILOT EXL,212,"18,495.00","19,867.79","1,000.00",250.00,"12,095.00",575.18,"5,824.82"
 2/13/21,SL,2013,TOYOTA,CAMRY SE; LE; XLE,216,"15,995.00","16,547.80",700.00,250.00,"7,955.00","1,238.83","6,801.17"
 1/26/21,SL,2014,FORD,F-150 XL; PLATINUM;,197,"21,995.00","21,624.65","2,500.00",265.00,"16,735.00",672.53,"4,587.47"
 1/7/21,WH,2011,FORD,F-150 XL; PLATINUM;,198,"6,000.00","6,000.00",0.00,"6,000.00","6,000.00",0.00,0.00
 1/11/21,SL,2018,NISSAN,ROGUE,577,"19,995.00","23,283.00",500.00,300.00,"12,000.00","4,201.70","3,793.30"
 2/16/21,SL,2019,HYUNDAI,ACCENT SE; SEL,168,"14,995.00","15,403.95","1,000.00",200.00,"10,150.00",193.42,"4,651.58"
 4/16/21,SL,2013,HONDA,FIT SPORT,153,"12,495.00","15,443.37",0.00,215.00,"5,420.00",894.90,"6,180.10"
